training_threshold,train_years,test_years,test_rmse,test_mae,test_r2,test_wape,n_train,n_test
2011,2010-2011,2012-2025,2047.752611898056,1361.920338039057,-0.009880290439357786,1.7167430194045412,91,727
2012,2010-2012,2013-2025,1916.9031672181418,919.4304658564815,-0.6485006461659666,1.596759129685506,143,675
2013,2010-2013,2014-2025,854.1269287829023,226.23473224670508,0.6439506525653766,0.4434091145288008,195,623
2014,2010-2014,2015-2025,1048.5180300856023,262.3483989735618,0.5039891333698636,0.47694849056585165,247,571
2015,2010-2015,2016-2025,894.6360158390538,228.40556389839892,0.669228758184377,0.4057617634324693,299,519
2016,2010-2016,2017-2025,935.8998744024426,220.0845412881267,0.6650543597563582,0.3952980934272617,351,467
2017,2010-2017,2018-2025,1286.9941159184725,337.39195068543216,0.4309844227049495,0.5478813733436675,403,415
2018,2010-2018,2019-2025,1139.706274717312,279.43665992589695,0.6050512021162422,0.4081024950437353,455,363
2019,2010-2019,2020-2025,1013.2158802077269,319.6132231433292,0.7285129940759782,0.4393279782791702,507,311
2020,2010-2020,2021-2025,1376.783004590649,375.6241292474813,0.5713778768820701,0.4327293690317971,559,259
2021,2010-2021,2022-2025,1505.0689790490494,454.1838703685337,0.573235086755129,0.42025112941651604,611,207
2022,2010-2022,2023-2025,1591.1251402176335,545.0154176281344,0.6223638818222803,0.39209378298814046,663,155
2023,2010-2023,2024-2025,1942.211595094695,772.5242546600045,0.614638661381733,0.47493418386155145,715,103
2024,2010-2024,2025-2025,627.0171529088832,347.5361190496707,-1.0142482762909015,0.6396370289257742,767,51
